GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Foyer,tn.esprit.spring.Services.Universite,UniversiteService,41,0,0,0,9,0,7,0,7,0
Foyer,tn.esprit.spring.Config,SpringDocConfig,166,0,0,0,45,0,11,0,11,0
Foyer,tn.esprit.spring.Services.Foyer,FoyerService,180,0,4,0,35,0,13,0,11,0
Foyer,tn.esprit.spring.Services.Chambre,ChambreService,493,0,52,0,89,0,44,0,17,0
Foyer,tn.esprit.spring.Services.Bloc,BlocService,140,82,10,2,32,15,10,7,5,6
Foyer,tn.esprit.spring.AOP,FoyerAspect4SIM2,37,0,0,0,12,0,6,0,6,0
Foyer,tn.esprit.spring.AOP,FoyerAspect4SE1,36,0,0,0,11,0,5,0,5,0
Foyer,tn.esprit.spring.DAO.Entities,Foyer,43,27,0,0,7,3,11,2,11,2
Foyer,tn.esprit.spring.DAO.Entities,Bloc,29,41,0,0,4,6,7,6,7,6
Foyer,tn.esprit.spring.DAO.Entities,Etudiant.EtudiantBuilder,74,0,0,0,1,0,10,0,10,0
Foyer,tn.esprit.spring.DAO.Entities,Chambre,39,31,0,0,6,4,10,3,10,3
Foyer,tn.esprit.spring.DAO.Entities,Reservation.ReservationBuilder,47,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Etudiant,90,0,0,0,12,0,17,0,17,0
Foyer,tn.esprit.spring.DAO.Entities,Foyer.FoyerBuilder,29,27,0,0,0,1,4,4,4,4
Foyer,tn.esprit.spring.DAO.Entities,TypeChambre,21,0,0,0,2,0,1,0,1,0
Foyer,tn.esprit.spring.DAO.Entities,Bloc.BlocBuilder,24,32,0,0,0,1,3,5,3,5
Foyer,tn.esprit.spring.DAO.Entities,Universite.UniversiteBuilder,46,0,0,0,1,0,7,0,7,0
Foyer,tn.esprit.spring.DAO.Entities,Chambre.ChambreBuilder,30,27,0,0,0,1,4,4,4,4
Foyer,tn.esprit.spring.DAO.Entities,Universite,50,0,0,0,8,0,11,0,11,0
Foyer,tn.esprit.spring.DAO.Entities,Reservation,60,0,0,0,9,0,11,0,11,0
Foyer,tn.esprit.spring.Services.Reservation,ReservationService,358,0,15,0,76,0,23,0,15,0
Foyer,tn.esprit.spring.Schedular,Schedular,13,0,0,0,3,0,2,0,2,0
Foyer,tn.esprit.spring.Schedular,_4SE1Class,19,0,0,0,6,0,4,0,4,0
Foyer,tn.esprit.spring.Schedular,test,7,0,0,0,2,0,2,0,2,0
Foyer,tn.esprit.spring.Services.Etudiant,EtudiantService,91,0,0,0,19,0,9,0,9,0
Foyer,tn.esprit.spring,FoyerApplication,8,0,0,0,3,0,2,0,2,0
Foyer,tn.esprit.spring.RestControllers,EtudiantRestController,35,0,0,0,9,0,7,0,7,0
Foyer,tn.esprit.spring.RestControllers,ChambreRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.RestControllers,UniversiteRestController,35,0,0,0,9,0,7,0,7,0
Foyer,tn.esprit.spring.RestControllers,BlocRestController,59,0,0,0,13,0,11,0,11,0
Foyer,tn.esprit.spring.RestControllers,ReservationRestController,47,0,0,0,11,0,9,0,9,0
Foyer,tn.esprit.spring.RestControllers,FoyerRestController,53,0,0,0,12,0,10,0,10,0
